instanceId,mode,date,durationSeconds,pgcrLink
16726454469,2,"2026-01-02T07:37:14Z",812.0,https://www.bungie.net/en/PGCR/16726454469
16721291785,2,"2025-12-30T11:58:06Z",127.0,https://www.bungie.net/en/PGCR/16721291785
16709503387,82,"2025-12-24T10:38:39Z",340.0,https://www.bungie.net/en/PGCR/16709503387
16709340902,6,"2025-12-24T07:08:30Z",2190.0,https://www.bungie.net/en/PGCR/16709340902
16707970861,6,"2025-12-23T18:02:36Z",1409.0,https://www.bungie.net/en/PGCR/16707970861
16706062283,3,"2025-12-22T20:21:13Z",742.0,https://www.bungie.net/en/PGCR/16706062283
16705308340,6,"2025-12-22T11:14:08Z",1924.0,https://www.bungie.net/en/PGCR/16705308340
16704136085,6,"2025-12-21T21:59:53Z",2595.0,https://www.bungie.net/en/PGCR/16704136085
16704039001,2,"2025-12-21T21:46:00Z",861.0,https://www.bungie.net/en/PGCR/16704039001
16704006173,2,"2025-12-21T21:35:16Z",671.0,https://www.bungie.net/en/PGCR/16704006173
16703659874,6,"2025-12-21T18:12:01Z",3810.0,https://www.bungie.net/en/PGCR/16703659874
16702585029,6,"2025-12-21T07:30:37Z",1471.0,https://www.bungie.net/en/PGCR/16702585029
16702551595,6,"2025-12-21T07:24:16Z",410.0,https://www.bungie.net/en/PGCR/16702551595
16702541848,2,"2025-12-21T06:45:41Z",2286.0,https://www.bungie.net/en/PGCR/16702541848
16702483191,6,"2025-12-21T06:38:40Z",451.0,https://www.bungie.net/en/PGCR/16702483191
16702471540,2,"2025-12-21T06:17:44Z",1221.0,https://www.bungie.net/en/PGCR/16702471540
16702436585,6,"2025-12-21T06:15:00Z",193.0,https://www.bungie.net/en/PGCR/16702436585
16702431082,2,"2025-12-21T05:53:36Z",1242.0,https://www.bungie.net/en/PGCR/16702431082
16702393414,6,"2025-12-21T05:50:54Z",191.0,https://www.bungie.net/en/PGCR/16702393414
16700062916,2,"2025-12-20T08:25:17Z",515.0,https://www.bungie.net/en/PGCR/16700062916
16700051961,6,"2025-12-20T08:13:03Z",763.0,https://www.bungie.net/en/PGCR/16700051961
16700036010,2,"2025-12-20T08:03:01Z",576.0,https://www.bungie.net/en/PGCR/16700036010
16700022412,6,"2025-12-20T07:53:20Z",610.0,https://www.bungie.net/en/PGCR/16700022412
16700009622,2,"2025-12-20T07:48:43Z",305.0,https://www.bungie.net/en/PGCR/16700009622
16700003013,6,"2025-12-20T07:47:27Z",102.0,https://www.bungie.net/en/PGCR/16700003013
16699997833,6,"2025-12-20T07:40:41Z",279.0,https://www.bungie.net/en/PGCR/16699997833
16699991752,2,"2025-12-20T07:29:59Z",626.0,https://www.bungie.net/en/PGCR/16699991752
16699976994,6,"2025-12-20T07:26:29Z",239.0,https://www.bungie.net/en/PGCR/16699976994
16698721887,2,"2025-12-19T20:42:44Z",783.0,https://www.bungie.net/en/PGCR/16698721887
16698694848,6,"2025-12-19T20:39:49Z",204.0,https://www.bungie.net/en/PGCR/16698694848
16698554319,2,"2025-12-19T19:21:55Z",680.0,https://www.bungie.net/en/PGCR/16698554319
16698532798,6,"2025-12-19T19:19:51Z",154.0,https://www.bungie.net/en/PGCR/16698532798
16698529216,2,"2025-12-19T19:08:27Z",623.0,https://www.bungie.net/en/PGCR/16698529216
16698507403,6,"2025-12-19T18:53:45Z",911.0,https://www.bungie.net/en/PGCR/16698507403
16698479605,2,"2025-12-19T18:32:03Z",1293.0,https://www.bungie.net/en/PGCR/16698479605
16698439897,6,"2025-12-19T18:29:13Z",200.0,https://www.bungie.net/en/PGCR/16698439897
16698434569,2,"2025-12-19T18:18:50Z",606.0,https://www.bungie.net/en/PGCR/16698434569
16698415998,6,"2025-12-19T18:11:08Z",492.0,https://www.bungie.net/en/PGCR/16698415998
16698402466,2,"2025-12-19T18:02:22Z",506.0,https://www.bungie.net/en/PGCR/16698402466
16698386569,6,"2025-12-19T17:55:10Z",461.0,https://www.bungie.net/en/PGCR/16698386569
16698371209,6,"2025-12-19T17:50:27Z",225.0,https://www.bungie.net/en/PGCR/16698371209
16698365361,2,"2025-12-19T17:36:57Z",797.0,https://www.bungie.net/en/PGCR/16698365361
16698342054,6,"2025-12-19T17:35:38Z",109.0,https://www.bungie.net/en/PGCR/16698342054
16698340422,2,"2025-12-19T17:29:16Z",356.0,https://www.bungie.net/en/PGCR/16698340422
16698328841,6,"2025-12-19T17:28:00Z",106.0,https://www.bungie.net/en/PGCR/16698328841
16698327225,2,"2025-12-19T17:21:11Z",383.0,https://www.bungie.net/en/PGCR/16698327225
16698316266,6,"2025-12-19T17:13:35Z",484.0,https://www.bungie.net/en/PGCR/16698316266
16698627494,4,"2025-12-19T17:01:34Z",11200.0,https://www.bungie.net/en/PGCR/16698627494
16686944325,6,"2025-12-14T20:53:06Z",1664.0,https://www.bungie.net/en/PGCR/16686944325
16686874152,2,"2025-12-14T20:33:40Z",1163.0,https://www.bungie.net/en/PGCR/16686874152
16685624528,2,"2025-12-14T09:37:49Z",671.0,https://www.bungie.net/en/PGCR/16685624528
16685582704,82,"2025-12-13T17:04:26Z",58078.0,https://www.bungie.net/en/PGCR/16685582704
16567186986,4,"2025-09-29T14:22:43Z",11177.0,https://www.bungie.net/en/PGCR/16567186986
16567004359,4,"2025-09-29T10:26:31Z",14118.0,https://www.bungie.net/en/PGCR/16567004359
16566845813,4,"2025-09-29T07:41:37Z",9823.0,https://www.bungie.net/en/PGCR/16566845813
16566757790,4,"2025-09-28T18:31:29Z",47361.0,https://www.bungie.net/en/PGCR/16566757790
16565203506,4,"2025-09-28T05:00:40Z",19389.0,https://www.bungie.net/en/PGCR/16565203506
16565139267,4,"2025-09-28T02:46:22Z",22742.0,https://www.bungie.net/en/PGCR/16565139267
16564703515,4,"2025-09-27T22:15:33Z",13933.0,https://www.bungie.net/en/PGCR/16564703515
16564382382,4,"2025-09-27T18:38:58Z",12969.0,https://www.bungie.net/en/PGCR/16564382382
16564034512,4,"2025-09-27T17:02:19Z",5774.0,https://www.bungie.net/en/PGCR/16564034512
16563866014,3,"2025-09-27T16:40:57Z",398.0,https://www.bungie.net/en/PGCR/16563866014
16563855636,3,"2025-09-27T16:38:44Z",160.0,https://www.bungie.net/en/PGCR/16563855636
16563851927,3,"2025-09-27T16:38:01Z",44.0,https://www.bungie.net/en/PGCR/16563851927
16563794360,3,"2025-09-27T15:46:38Z",338.0,https://www.bungie.net/en/PGCR/16563794360
16563787100,3,"2025-09-27T15:45:53Z",72.0,https://www.bungie.net/en/PGCR/16563787100
16563786833,3,"2025-09-27T15:40:53Z",276.0,https://www.bungie.net/en/PGCR/16563786833
16563781589,3,"2025-09-27T15:40:02Z",64.0,https://www.bungie.net/en/PGCR/16563781589
16563778469,3,"2025-09-27T15:31:28Z",325.0,https://www.bungie.net/en/PGCR/16563778469
16563773138,3,"2025-09-27T15:27:29Z",213.0,https://www.bungie.net/en/PGCR/16563773138
16563770806,3,"2025-09-27T15:22:27Z",260.0,https://www.bungie.net/en/PGCR/16563770806
16562556182,4,"2025-09-26T17:27:49Z",9501.0,https://www.bungie.net/en/PGCR/16562556182
16562309700,3,"2025-09-26T16:54:08Z",404.0,https://www.bungie.net/en/PGCR/16562309700
16562300516,3,"2025-09-26T16:35:50Z",992.0,https://www.bungie.net/en/PGCR/16562300516
16562275242,3,"2025-09-26T16:22:27Z",413.0,https://www.bungie.net/en/PGCR/16562275242
16562266561,3,"2025-09-26T16:12:31Z",587.0,https://www.bungie.net/en/PGCR/16562266561
16562255078,3,"2025-09-26T16:10:30Z",91.0,https://www.bungie.net/en/PGCR/16562255078
16562160000,6,"2025-09-26T14:24:07Z",1041.0,https://www.bungie.net/en/PGCR/16562160000
16562136869,4,"2025-09-26T13:26:59Z",2853.0,https://www.bungie.net/en/PGCR/16562136869
